,MLS ID,Status,Price,HOA Fee,Square Feet,Price per Square Foot,Lot Size,Bedrooms,Bathrooms,Location,Stories,Address,City,State,ZIP Code,Year Built,URL
183,2232130,Active,499999.0,,1100.0,455.0,1371.0,3.0,2.0,White Center,1.5,9223 17th Ave SW Unit C,Seattle,WA,98106,2007.0,/WA/Seattle/9223-17th-Ave-SW-98106/unit-C/home/190684125
184,2226020,Active,639000.0,,1063.0,601.0,4960.0,2.0,2.5,West Seattle,1.5,2415 SW Findlay St,Seattle,WA,98106,2024.0,/WA/Seattle/2415-SW-Findlay-St-98106/home/190668339
185,2229608,Active,475000.0,,670.0,709.0,982.0,2.0,2.0,Pigeon Point,1.5,3853 21st Ave SW,Seattle,WA,98106,2018.0,/WA/Seattle/3853-21st-Ave-SW-98106/home/156407621
186,2229800,Active,900000.0,,2540.0,354.0,5080.0,5.0,3.0,Westwood,1.5,8833 11th Ave SW,Seattle,WA,98106,2002.0,/WA/Seattle/8833-11th-Ave-SW-98106/home/475379
187,2220119,Active,629900.0,269.0,1460.0,431.0,1328.0,2.0,2.5,West Seattle,1.5,2711 SW Sylvan Heights Dr,Seattle,WA,98106,2007.0,/WA/Seattle/2711-SW-Sylvan-Heights-Dr-98106/home/12090454
188,FD1A5AB8A7F5,Active,975900.0,110.0,2323.0,420.0,,5.0,2.5,Seattle,2.0,F1 Plan,Seattle,WA,98106,,/WA/Seattle/Seattle/F1/home/190603302
189,2228466,Active,595000.0,,1151.0,517.0,818.0,2.0,2.5,West Seattle,1.5,9408 18th Ave SW,Seattle,WA,98106,2024.0,/WA/Seattle/9408-18th-Ave-SW-98106/home/190615208
190,3F93DBA2F2C4,Active,975000.0,110.0,2323.0,420.0,,5.0,2.5,Seattle,2.0,Plan F1 Plan,Seattle,WA,98106,,/WA/Seattle/Seattle/Plan-F1/home/190602833
191,4B66A8C35BD2,Active,1103900.0,110.0,2701.0,409.0,,5.0,2.5,Seattle,2.0,Plan E1 Plan,Seattle,WA,98106,,/WA/Seattle/Seattle/Plan-E1/home/190602464
192,2227335,Active,599999.0,,1080.0,556.0,4000.0,2.0,2.0,Delridge,3.0,3843 22nd Ave SW,Seattle,WA,98106,1918.0,/WA/Seattle/3843-22nd-Ave-SW-98106/home/160306
193,2227937,Active,560000.0,,1210.0,463.0,3149.0,3.0,2.0,Highland Park,1.0,815 SW Cloverdale St,Seattle,WA,98106,1918.0,/WA/Seattle/815-SW-Cloverdale-St-98106/home/475512
194,2227476,Active,975900.0,96.0,2323.0,420.0,5005.0,5.0,3.0,White Center,2.0,558 SW 98th Pl #49,Seattle,WA,98106,2024.0,/WA/Seattle/558-SW-98th-Pl-98106/unit-49/home/190580768
195,2218485,Active,640000.0,,2060.0,311.0,4778.0,4.0,1.5,Highland Park,1.0,9020 11th Ave SW,Seattle,WA,98106,1949.0,/WA/Seattle/9020-11th-Ave-SW-98106/home/474397
196,2226202,Active,649950.0,,1093.0,595.0,4960.0,3.0,2.5,West Seattle,1.5,2425 SW Findlay St,Seattle,WA,98106,2024.0,/WA/Seattle/2425-SW-Findlay-St-98106/home/190556956
197,2224534,Active,599000.0,,1040.0,576.0,6488.0,3.0,2.0,West Seattle,1.0,7322 19th Ave SW,Seattle,WA,98106,1978.0,/WA/Seattle/7322-19th-Ave-SW-98106/home/161037
